PV_Size_kW,Battery_Size_kWh,Total_Cost_EUR,Payback_Period_Years,ROI_Percent
5,50,21000,0.10234268362658075,977.1094176587303
5,100,36000,0.17544460050270985,569.9804936342593
5,150,51000,0.24854651737883898,402.3391719771243
5,200,66000,0.3216484342549681,310.8984510732324
5,250,81000,0.3947503511310972,253.32466383744864
5,300,96000,0.4678522680072263,213.74268511284725
5,350,111000,0.5409541848833554,184.85853847597602
5,400,126000,0.6140561017594846,162.85156960978838
5,450,141000,0.6871580186356137,145.5269345449173
5,500,156000,0.7602599355117428,131.53396006944448
5,550,171000,0.8333618523878719,119.9958933966862
5,600,186000,0.906463769264001,110.31880521953408
5,650,201000,0.9795656861401301,102.08605856135988
5,700,216000,1.0526676030162592,94.99674893904323
5,750,231000,1.1257695198923883,88.8281288780664
5,800,246000,1.1988714367685174,83.41177955623309
5,850,261000,1.2719733536446465,78.6179991219668
5,900,276000,1.3450752705207756,74.34528177838166
5,950,291000,1.4181771873969047,70.51305075887745
5,1000,306000,1.4912791042730338,67.05652866285405
5,1050,321000,1.5643810211491629,63.923046015057125
5,1100,336000,1.637482938025292,61.069338603670644
5,1150,351000,1.710584854901421,58.45953780864199
5,1200,366000,1.7836867717775502,56.063655111566504
5,1250,381000,1.8567886886536795,53.856424595363094
5,1300,396000,1.9298906055298086,51.816408512205406
5,1350,411000,2.0029925224059375,49.92529871248988
5,1400,426000,2.0760944392820666,48.167365659233184
5,1450,441000,2.1491963561581957,46.52901988851097
5,1500,456000,2.222298273034325,44.99846002375732
5,1550,471000,2.295400189910454,43.565388048478425
5,1600,486000,2.368502106786583,42.22077730624144
5,1650,501000,2.441604023662712,40.956682177312054
5,1700,516000,2.5147059405388412,39.7660809512274
5,1750,531000,2.5878078574149703,38.64274533113623
5,1800,546000,2.6609097742910994,37.581131448412705
5,1850,561000,2.7340116911672285,36.57628836155675
5,1900,576000,2.8071136080433576,35.62378085214121
5,1950,591000,2.880215524919487,34.71962397772138
5,2000,606000,2.9533174417956163,33.86022734460947
5,2050,621000,3.0264193586717454,33.04234745705851
10,50,27000,0.1315834503770324,759.9739915123458
10,100,42000,0.2046853672531615,488.55470882936515
10,150,57000,0.2777872841292906,359.98768019005854
10,200,72000,0.3508892010054197,284.9902468171297
10,250,87000,0.42399111788154886,235.85399736590045
10,300,102000,0.49709303475767797,201.16958598856215
10,350,117000,0.5701949516338071,175.37861342592595
10,400,132000,0.6432968685099362,155.4492255366162
10,450,147000,0.7163987853860653,139.5870596655329
10,500,162000,0.7895007022621944,126.66233191872432
10,550,177000,0.8626026191383235,115.92823599340869
10,600,192000,0.9357045360144526,106.87134255642363
10,650,207000,1.0088064528905818,99.12704237117555
10,700,222000,1.081908369766711,92.42926923798801
10,750,237000,1.15501028664284,86.57931548874826
10,800,252000,1.228112203518969,81.42578480489419
10,850,267000,1.3012141203950982,76.85130251248441
10,900,282000,1.3743160372712273,72.76346727245866
10,950,297000,1.4474179541473564,69.08854468294054
10,1000,312000,1.5205198710234855,65.76698003472224
10,1050,327000,1.5936217878996146,62.75014608817534
10,1100,342000,1.6667237047757437,59.9979466983431
10,1150,357000,1.7398256216518728,57.47702456816061
10,1200,372000,1.812927538528002,55.15940260976704
10,1250,387000,1.886029455404131,53.02144126830319
10,1300,402000,1.9591313722802601,51.04302928067994
10,1350,417000,2.0322332891563892,49.206949090727434
10,1400,432000,2.1053352060325183,47.498374469521615
10,1450,447000,2.1784371229086474,45.90446928598062
10,1500,462000,2.2515390397847765,44.4140644390332
10,1550,477000,2.3246409566609056,43.01739574598184
10,1600,492000,2.3977428735370347,41.70588977811654
10,1650,507000,2.470844790413164,40.471987713675226
10,1700,522000,2.543946707289293,39.3089995609834
10,1750,537000,2.617048624165422,38.210982813469904
10,1800,552000,2.690150541041551,37.17264088919083
10,1850,567000,2.7632524579176803,36.189237691064086
10,1900,582000,2.8363543747938094,35.25652537943873
10,1950,597000,2.9094562916699385,34.370683033221674
10,2000,612000,2.9825582085460676,33.528264331427025
10,2050,627000,3.0556601254221967,32.72615274455078
15,50,33000,0.16082421712748404,621.7969021464648
15,100,48000,0.23392613400361315,427.4853702256945
15,150,63000,0.3070280508797423,325.70313921957677
15,200,78000,0.3801299677558714,263.06792013888895
15,250,93000,0.4532318846320005,220.63761043906817
15,300,108000,0.5263338015081296,189.99349787808646
15,350,123000,0.5994357183842587,166.82355911246617
15,400,138000,0.6725376352603878,148.69056355676332
15,450,153000,0.7456395521365169,134.1130573257081
15,500,168000,0.818741469012646,122.13867720734129
15,550,183000,0.8918433858887751,112.12731022313301
