Datetime,Generation_kWh
2022-01-01 00:00:00,0.0
2022-01-01 01:00:00,0.0
2022-01-01 02:00:00,0.0
2022-01-01 03:00:00,0.0
2022-01-01 04:00:00,0.0
2022-01-01 05:00:00,0.0
2022-01-01 06:00:00,0.0
2022-01-01 07:00:00,0.0
2022-01-01 08:00:00,0.8
2022-01-01 09:00:00,233.28
2022-01-01 10:00:00,386.3
2022-01-01 11:00:00,492.08
2022-01-01 12:00:00,546.91
2022-01-01 13:00:00,560.23
2022-01-01 14:00:00,512.72
2022-01-01 15:00:00,407.62
2022-01-01 16:00:00,243.06
2022-01-01 17:00:00,3.59
2022-01-01 18:00:00,0.0
2022-01-01 19:00:00,0.0
2022-01-01 20:00:00,0.0
2022-01-01 21:00:00,0.0
2022-01-01 22:00:00,0.0
2022-01-01 23:00:00,0.0
2022-02-01 00:00:00,0.0
2022-02-01 01:00:00,0.0
2022-02-01 02:00:00,0.0
2022-02-01 03:00:00,0.0
2022-02-01 04:00:00,0.0
2022-02-01 05:00:00,0.0
2022-02-01 06:00:00,0.0
2022-02-01 07:00:00,0.0
2022-02-01 08:00:00,93.3
2022-02-01 09:00:00,288.33
2022-02-01 10:00:00,425.65
2022-02-01 11:00:00,543.72
2022-02-01 12:00:00,609.1
2022-02-01 13:00:00,617.46
2022-02-01 14:00:00,581.02
2022-02-01 15:00:00,471.31
2022-02-01 16:00:00,326.54
2022-02-01 17:00:00,137.8
2022-02-01 18:00:00,0.0
2022-02-01 19:00:00,0.0
2022-02-01 20:00:00,0.0
2022-02-01 21:00:00,0.0
2022-02-01 22:00:00,0.0
2022-02-01 23:00:00,0.0
2022-03-01 00:00:00,0.0
2022-03-01 01:00:00,0.0
2022-03-01 02:00:00,0.0
2022-03-01 03:00:00,0.0
2022-03-01 04:00:00,0.0
2022-03-01 05:00:00,0.0
2022-03-01 06:00:00,0.0
2022-03-01 07:00:00,33.28
2022-03-01 08:00:00,198.19
2022-03-01 09:00:00,378.81
2022-03-01 10:00:00,544.34
2022-03-01 11:00:00,651.95
2022-03-01 12:00:00,718.54
2022-03-01 13:00:00,692.8
2022-03-01 14:00:00,653.96
2022-03-01 15:00:00,543.02
2022-03-01 16:00:00,387.42
2022-03-01 17:00:00,210.46
2022-03-01 18:00:00,27.86
2022-03-01 19:00:00,0.0
2022-03-01 20:00:00,0.0
2022-03-01 21:00:00,0.0
2022-03-01 22:00:00,0.0
2022-03-01 23:00:00,0.0
2022-04-01 00:00:00,0.0
2022-04-01 01:00:00,0.0
2022-04-01 02:00:00,0.0
2022-04-01 03:00:00,0.0
2022-04-01 04:00:00,0.0
2022-04-01 05:00:00,0.0
2022-04-01 06:00:00,13.64
2022-04-01 07:00:00,121.23
2022-04-01 08:00:00,281.62
2022-04-01 09:00:00,456.76
2022-04-01 10:00:00,593.88
2022-04-01 11:00:00,688.62
2022-04-01 12:00:00,742.4
2022-04-01 13:00:00,721.77
2022-04-01 14:00:00,647.41
2022-04-01 15:00:00,529.22
2022-04-01 16:00:00,390.18
2022-04-01 17:00:00,227.74
2022-04-01 18:00:00,77.21
2022-04-01 19:00:00,1.62
2022-04-01 20:00:00,0.0
2022-04-01 21:00:00,0.0
2022-04-01 22:00:00,0.0
2022-04-01 23:00:00,0.0
2022-05-01 00:00:00,0.0
2022-05-01 01:00:00,0.0
2022-05-01 02:00:00,0.0
2022-05-01 03:00:00,0.0
2022-05-01 04:00:00,0.0
2022-05-01 05:00:00,1.73
2022-05-01 06:00:00,46.12
2022-05-01 07:00:00,164.1
2022-05-01 08:00:00,318.06
2022-05-01 09:00:00,490.03
2022-05-01 10:00:00,627.92
2022-05-01 11:00:00,709.88
2022-05-01 12:00:00,748.62
2022-05-01 13:00:00,735.94
2022-05-01 14:00:00,648.16
2022-05-01 15:00:00,521.56
2022-05-01 16:00:00,383.38
