,January,February,March,April,May,June,July,August,September,October,November,December
0:00,0,0,0,0,0,0,0,0,0,0,0,0
1:00,0,0,0,0,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0,0,0,0,0
5:00,0,0,0,0,1.73,9.83,2.25,0,0,0,0,0
6:00,0,0,0,13.64,46.12,60.09,52.4,25.14,1.04,0,0,0
7:00,0,0,33.28,121.23,164.1,180.96,171.3,140.93,95.57,27.53,0,0
8:00,0.8,93.3,198.19,281.62,318.06,348.67,349.63,317.6,265.31,177.97,105.41,1.51
9:00,233.28,288.33,378.81,456.76,490.03,523.65,543.03,520,452.38,331.66,265.85,234.47
10:00,386.3,425.65,544.34,593.88,627.92,665.8,704.07,680.53,598.16,454.09,363.37,368.63
11:00,492.08,543.72,651.95,688.62,709.88,764.45,819.58,779.36,701.97,553,454.19,461.83
12:00,546.91,609.1,718.54,742.4,748.62,797.37,861.35,844.35,751.35,581.83,489.63,518.12
13:00,560.23,617.46,692.8,721.77,735.94,777.61,846.75,830.87,722.66,549.9,484.45,513.57
14:00,512.72,581.02,653.96,647.41,648.16,698.93,762.53,744.85,656.16,488.85,419.36,450.89
15:00,407.62,471.31,543.02,529.22,521.56,573,631.1,606.04,519.25,370.23,308.3,342.65
16:00,243.06,326.54,387.42,390.18,383.38,424.68,468.73,455.56,371.05,232.37,163.24,161.31
17:00,3.59,137.8,210.46,227.74,238.13,275.61,307.41,273.1,189.31,61.87,0.08,0
18:00,0,0,27.86,77.21,102.7,131.39,143.01,109,31.8,0,0,0
19:00,0,0,0,1.62,24.53,45.59,44.03,14.82,0,0,0,0
20:00,0,0,0,0,0,0.37,0.23,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0
